ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0097306	cellular response to alcohol	235	0.47397939554876073	1.476146578158589	5.013206408500846e-4	0.009752105296536551	0.008448273361694077	2724	tags=26%, list=13%, signal=22%	AT2G33150/AT2G29940/AT5G52300/AT1G07430/AT1G05100/AT5G59220/AT3G50500/AT2G46680/AT1G01720/AT4G35790/AT2G28400/AT4G26080/AT3G20810/AT1G15380/AT4G02370/AT3G01650/AT3G09770/AT2G30360/AT1G49720/AT3G02140/AT3G63060/AT2G25760/AT5G01550/AT5G57050/AT1G70810/AT1G05680/AT5G66880/AT5G01520/AT1G18720/AT5G13170/AT3G11410/AT1G54830/AT5G20910/AT5G37740/AT4G33780/AT2G32510/AT5G11310/AT4G04920/AT1G02816/AT4G15230/AT2G26300/AT1G62810/AT1G18470/AT1G18390/AT4G01026/AT1G20110/AT5G66070/AT1G74740/AT3G55620/AT2G30020/AT5G08520/AT5G10940/AT2G01540/AT4G23450/AT3G48360/AT5G63910/AT1G27320/AT4G21534/AT3G57530/AT5G60870
GO:0010206	photosystem II repair	13	-0.9019587446223191	-1.6804682348269087	5.174123013144265e-4	0.009971066965517266	0.008637960406596968	1199	tags=85%, list=6%, signal=80%	AT2G30950/AT4G18370/AT3G27925/AT5G39830/AT1G50250/AT2G47940/AT1G54780/AT4G02530/AT1G75690/AT1G03600/AT1G55480
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	196	0.4868885521510355	1.483082847322069	5.469217853074789e-4	0.010442154826889087	0.009046065006498943	5468	tags=41%, list=27%, signal=31%	AT1G77000/AT5G58290/AT3G53230/AT4G22820/AT4G02740/AT4G19700/AT5G20000/AT3G53970/AT2G36630/AT5G03340/AT1G21410/AT5G25350/AT5G01720/AT5G62540/AT2G22690/AT4G29040/AT2G02760/AT1G04810/AT3G24760/AT3G24800/AT5G09630/AT4G24390/AT3G11270/AT2G25740/AT4G04180/AT3G50080/AT5G40580/AT3G05870/AT4G24820/AT5G23540/AT3G54130/AT4G17410/AT4G22150/AT4G12040/AT4G30940/AT2G05840/AT3G27430/AT3G09840/AT1G21760/AT4G38630/AT1G20140/AT4G14800/AT4G28470/AT1G09100/AT3G22630/AT2G06040/AT5G02880/AT4G09300/AT3G55070/AT1G27840/AT5G04010/AT1G51710/AT1G51350/AT2G20580/AT1G53850/AT3G48150/AT4G03360/AT5G49930/AT4G15475/AT3G51770/AT4G34040/AT5G42790/AT5G43190/AT1G53750/AT5G58410/AT3G28330/AT1G14570/AT2G18290/AT4G24210/AT5G66810/AT5G41560/AT4G33160/AT5G02310/AT1G26830/AT3G18860/AT1G64520/AT2G27020/AT1G11540/AT1G56450/AT5G05560/AT4G15410
GO:0045333	cellular respiration	174	0.4995850009476369	1.508828182832028	5.99299117805533e-4	0.01133719982490834	0.009821444740859386	3556	tags=40%, list=17%, signal=33%	AT1G77120/ATMG01360/ATMG00160/AT2G42790/AT3G27380/AT3G22370/AT3G58750/AT5G25450/AT3G45300/AT5G47810/AT4G26270/AT1G32350/AT4G10040/AT2G05710/AT2G41730/ATMG00650/AT5G66760/AT5G43330/AT3G10020/AT5G51040/AT5G65750/AT2G36460/AT1G22840/AT3G10860/AT5G56350/AT2G44350/ATMG00070/AT5G40650/AT5G61580/AT5G11770/AT2G36220/AT2G36530/AT5G67490/AT1G79550/AT5G51060/AT5G03290/AT1G78050/AT2G43400/AT3G52990/AT4G35260/AT3G55410/AT4G37120/AT5G13440/AT5G37510/AT1G05575/AT3G15840/AT4G36400/AT3G27620/AT3G27240/AT2G01140/AT5G08680/AT2G46505/AT4G37830/AT4G32470/AT4G17650/AT1G33055/AT2G47510/AT1G16300/AT3G49160/AT4G35830/AT1G07030/AT5G50210/AT2G19860/AT1G51650/AT4G05020/AT4G26970/AT4G01100/AT5G15090/AT4G26910
GO:0006900	vesicle budding from membrane	49	0.7115302271641328	1.7935935171324258	6.508226054252297e-4	0.012199965567152943	0.010568860874704447	3491	tags=39%, list=17%, signal=32%	AT1G18830/AT5G63880/AT3G44340/AT2G01470/AT2G23810/AT5G04850/AT1G09180/AT3G07100/AT1G05520/AT3G10640/AT1G03050/AT1G59820/AT5G43670/AT1G20110/AT5G35200/AT2G01600/AT4G02080/AT3G62560/AT1G68110
GO:0051644	plastid localization	31	-0.7864360677338462	-1.7119096870216861	7.370917897298909e-4	0.013692642075883199	0.01186197029086415	2522	tags=58%, list=12%, signal=51%	AT5G38150/AT1G01320/AT3G51720/AT1G42550/AT3G45780/AT3G17170/AT5G55280/AT5G05000/AT5G10470/AT1G64500/AT1G15290/AT1G66840/AT4G28080/AT5G58140/AT2G30520/AT3G25690/AT1G75100/AT5G67385
GO:0009611	response to wounding	251	0.4600379134337328	1.4409609538345738	7.524869038268697e-4	0.013853821390098262	0.012001600336411634	2302	tags=22%, list=11%, signal=20%	AT2G33150/AT1G74020/AT2G34810/AT5G10300/AT4G24220/AT1G17420/AT1G51760/AT1G76690/AT3G51440/AT5G14780/AT4G16760/AT1G01720/AT4G34710/AT5G54170/AT1G19180/AT5G67480/AT3G20810/AT1G15380/AT3G11480/AT5G20230/AT5G24770/AT5G22500/AT1G66760/AT5G52310/AT1G32920/AT3G01310/AT5G11090/AT4G21440/AT3G25250/AT2G02990/AT5G59820/AT1G73260/AT5G24090/AT3G12500/AT1G43160/AT5G08790/AT5G06320/AT4G16740/AT3G51460/AT4G23600/AT3G14050/AT1G62810/AT2G02220/AT1G01470/AT5G47240/AT1G55020/AT5G13220/AT1G61340/AT5G63970/AT2G38870/AT2G30020/AT3G48520/AT3G61190/AT1G72520/AT5G43570
GO:0019750	chloroplast localization	30	-0.7839778567751948	-1.7026158173516153	7.768286564753128e-4	0.01417540433320438	0.012280188449358227	2522	tags=57%, list=12%, signal=50%	AT5G38150/AT1G01320/AT3G51720/AT1G42550/AT3G45780/AT5G55280/AT5G05000/AT5G10470/AT1G64500/AT1G15290/AT1G66840/AT4G28080/AT5G58140/AT2G30520/AT3G25690/AT1G75100/AT5G67385
GO:0035459	vesicle cargo loading	14	0.862285360319051	1.6793552382206933	7.869821744698229e-4	0.014234712664533111	0.012331567406050688	1927	tags=43%, list=9%, signal=39%	AT1G18830/AT3G44340/AT2G23810/AT3G07100/AT1G05520/AT5G43670
GO:0042542	response to hydrogen peroxide	76	0.6199694243280591	1.6970903851850108	8.409126767514354e-4	0.015077929908360519	0.013062048626518863	1251	tags=26%, list=6%, signal=25%	AT1G77120/AT3G46230/AT1G04580/AT1G20630/AT2G18170/AT1G20620/AT1G53540/AT5G67480/AT2G41730/AT5G39610/AT3G17790/AT1G22770/AT5G05410/AT1G75270/AT1G05680/AT2G29500/AT1G73260/AT1G34370/AT5G12030/AT4G10250
