category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Cellular Processes	Transport and catabolism	ath04146	Peroxisome	47/2187	90/6348	0.5222222222222223	1.515805517451608	3.5727221414502544	3.659178275078056e-4	0.0019281054757142064	9.925706252236024e-4	831604/817876/836635/815822/838652/832812/820664/827563/820665/829641/819337/821961/841367/827381/838651/841720/841875/818877/820462/814677/834946/832820/832095/829661/832311/824347/819693/834346/837405/832395/821248/820630/820632/821342/842748/829534/828613/818138/829521/817175/829642/822053/839800/815975/824802/3770487/820372	47
NA	NA	ath01320	Sulfur cycle	15/2187	21/6348	0.7142857142857143	2.07329022143837	3.571393349085402	5.940679659026477e-4	0.003014344864024546	0.001551756480135571	832872/825317/821817/818978/827118/842514/830153/838580/821861/819654/815963/825145/834400/828288/832873	15
Metabolism	Lipid metabolism	ath00561	Glycerolipid metabolism	38/2187	71/6348	0.5352112676056338	1.553507602542553	3.400059234329013	7.040114927967104e-4	0.0034446276611839045	0.0017732620307285563	841899/816464/841849/823955/837163/838991/822299/829573/839558/828140/840112/824798/844378/843683/820339/824770/829782/830735/836183/841250/834298/831208/830686/820316/830283/841020/837820/830736/814646/835849/821418/834114/818356/822297/824881/821242/815657/830496	38
Metabolism	Carbohydrate metabolism	ath00053	Ascorbate and aldarate metabolism	34/2187	62/6348	0.5483870967741935	1.5917518474268773	3.3943612559181764	7.464716707334725e-4	0.003526435134154681	0.0018153757509670656	841849/844085/823955/828792/838014/832235/838991/829509/821965/831774/829573/832234/843864/819902/816499/833002/829782/826833/831298/820121/828732/821206/833928/841020/839289/820155/818356/819139/829167/828145/819288/835750/830067/839197	34
Metabolism	Metabolism of terpenoids and polyketides	ath00906	Carotenoid biosynthesis	20/2187	32/6348	0.625	1.8141289437585735	3.3470092009963777	0.0010750635722493603	0.004832635016365802	0.0024877952062735977	836838/831587/820185/835806/821461/821696/824479/827655/820667/817257/840067/838334/835334/827061/827663/841670/819107/829417/834570/844175	20
Metabolism	Biosynthesis of other secondary metabolites	ath00940	Phenylpropanoid biosynthesis	62/2187	130/6348	0.47692307692307695	1.3843199324680808	3.2095859446295245	0.001121796600636314	0.004832635016365802	0.0024877952062735977	829955/821479/842814/824073/843600/829572/825864/836457/830088/829479/824493/830302/841593/830416/838165/831469/818527/818280/829954/836533/820964/827221/829907/828285/819376/818289/827639/833954/844421/820196/828728/827220/838016/835894/822042/830561/817967/830562/834012/826731/830823/836531/839958/829953/828704/843126/839082/825461/823067/832110/824238/842596/829795/818746/816710/818420/836802/827322/827222/837028/843218/841062	62
Metabolism	Nucleotide metabolism	ath00230	Purine metabolism	48/2187	96/6348	0.5	1.4513031550068587	3.2300131040898474	0.0011287906607569756	0.004832635016365802	0.0024877952062735977	828353/829641/827752/826515/836451/833471/818512/841853/838927/827118/818302/825836/826884/830153/827575/838580/834816/818069/830985/831882/829626/821861/814985/822324/824667/815963/820619/835257/844345/814753/835104/818807/821663/820140/818788/837515/834835/834400/816715/2746218/824922/827151/829642/839890/828648/843505/837986/826856	48
Organismal Systems	Environmental adaptation	ath04712	Circadian rhythm - plant	25/2187	43/6348	0.5813953488372093	1.6875618081475103	3.2795420981404826	0.001209636284822039	0.005021823364261192	0.0025851875943565107	839341/821298/819296/836259/817134/832518/839529/820767/838883/843133/836132/821027/832392/826470/819292/817857/830730/831241/836873/831442/832438/836364/842120/827785/831441	25
Metabolism	Amino acid metabolism	ath00360	Phenylalanine metabolism	20/2187	33/6348	0.6060606060606061	1.759155339402253	3.169645745885911	0.0018522353198230487	0.007463418788698755	0.003842098031831091	831024/826838/820760/816553/824493/830302/835823/816758/818280/835480/817648/842580/830897/840058/840056/837168/820196/827314/817022/842579	20
Metabolism	Lipid metabolism	ath00073	Cutin, suberine and wax biosynthesis	34/2187	65/6348	0.5230769230769231	1.5182863775456368	3.0447576154678058	0.0022139736755803427	0.00866612553012877	0.0044612401883874575	841899/843628/817901/824033/828019/832311/822299/819205/824082/818485/834106/833704/820222/834114/839347/829521/839541/842150/837704/842675/835631/822297/820221/831117/835630/843405/821242/831496/830721/832310/835627/832383/843283/820372	34
